student_id,full_name,class_cohort
SV2000,  Tran  thi B,K18 A2
sv2001,Nguyen van A,K17A1
SV2002,Hoang   van e,K19A2 
sv2003,LE   VAN  C,K18A1
 SV2004,  Tran  thi B,k19a1
sv2005,LE   VAN  C,K19A2 
SV2006 ,Nguyen van A,K17A1
sv2007,  Tran  thi B,K18 A2
 SV2008,  Tran  thi B,K18 A2
 SV2009,Nguyen van A,K18A1
 SV2010,Hoang   van e,K20A1
 SV2011,  Tran  thi B, K20A2 
sv2012,pham  thi d,K20A1
SV2013 ,Nguyen van A,K19A2 
SV2014 ,  Tran  thi B,k19a1
 SV2015,pham  thi d,K18A1
SV2016 ,  Tran  thi B,K20A1
SV2017,LE   VAN  C,k19a1
SV2018 ,LE   VAN  C, K20A2 
SV2019,Hoang   van e,K19A2 
 SV2020,Hoang   van e,K18 A2
SV2021,  Tran  thi B,K18 A2
SV2022,Hoang   van e,K17A1
 SV2023,LE   VAN  C,K19A2 
 SV2024,pham  thi d, K20A2 
SV2025 ,Nguyen van A,K17A1
SV2026,Nguyen van A,K18 A2
SV2027 ,  Tran  thi B,K19A2 
sv2028,Hoang   van e,K19A2 
SV2029 ,Nguyen van A,K17A1
SV2030 ,LE   VAN  C,K17A2
SV2031 ,Nguyen van A,k19a1
SV2032,Hoang   van e,K19A2 
SV2033 ,  Tran  thi B,k19a1
 SV2034,Hoang   van e,K19A2 
SV2035 ,Hoang   van e, K20A2 
SV2036,LE   VAN  C,K17A1
sv2037,  Tran  thi B,K17A1
SV2038 ,Nguyen van A,K17A1
SV2039,pham  thi d,K20A1
SV2040,Nguyen van A,K17A1
SV2041 ,pham  thi d,K18A1
SV2042,  Tran  thi B,K18 A2
SV2043 ,Nguyen van A, K20A2 
 SV2044,  Tran  thi B,K18 A2
SV2045,pham  thi d,K18A1
SV2046,  Tran  thi B,K19A2 
SV2047 ,LE   VAN  C,K17A2
SV2048 ,Nguyen van A,K20A1
SV2049,pham  thi d, K20A2 
SV2050,  Tran  thi B,K18 A2
sv2051,LE   VAN  C,K17A1
SV2052 ,pham  thi d,K17A2
SV2053,LE   VAN  C,K18A1
SV2054 ,Nguyen van A,K17A2
SV2055,  Tran  thi B,K18 A2
SV2056 ,Hoang   van e,k19a1
SV2057 ,LE   VAN  C,K18 A2
sv2058,Hoang   van e, K20A2 
sv2059,  Tran  thi B,K20A1
 SV2060,Nguyen van A,K20A1
 SV2061,  Tran  thi B,K17A2
SV2062 ,LE   VAN  C,K20A1
 SV2063,pham  thi d,K18 A2
SV2064 ,LE   VAN  C,k19a1
SV2065,LE   VAN  C,k19a1
SV2066,Hoang   van e, K20A2 
SV2067 ,  Tran  thi B,K19A2 
SV2068 ,Hoang   van e,K18A1
SV2069 ,  Tran  thi B,K20A1
SV2070 ,pham  thi d,K17A1
SV2071,Hoang   van e,K20A1
SV2072,  Tran  thi B,K17A2
 SV2073,Nguyen van A,K20A1
 SV2074,LE   VAN  C,K17A1
SV2075 ,Nguyen van A,k19a1
SV2076,  Tran  thi B, K20A2 
SV2077 ,Nguyen van A,K20A1
sv2078,  Tran  thi B,K18A1
 SV2079,  Tran  thi B,K18A1
